sample	layout	read	remote_relpath	url	md5	bytes
ERR10445856	PE	R1	fastq_public/swiss/ERR10445856_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/056/ERR10445856/ERR10445856_1.fastq.gz	35851f3d821c45722e13b9cd1bac43f1	9322231518
ERR10445856	PE	R2	fastq_public/swiss/ERR10445856_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/056/ERR10445856/ERR10445856_2.fastq.gz	1e21fabe58ae579295d97b03dc365d52	10096797325
ERR10445861	PE	R1	fastq_public/swiss/ERR10445861_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/061/ERR10445861/ERR10445861_1.fastq.gz	edd3b0aaab7e762656d36155f9892883	6425607715
ERR10445861	PE	R2	fastq_public/swiss/ERR10445861_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/061/ERR10445861/ERR10445861_2.fastq.gz	b6a1d20ca2d3c37482f59194d5087ddd	6898329354
ERR10445862	PE	R1	fastq_public/swiss/ERR10445862_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/062/ERR10445862/ERR10445862_1.fastq.gz	bfd5999e44ff3cb95d6e999ece2800c5	8970964373
ERR10445862	PE	R2	fastq_public/swiss/ERR10445862_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/062/ERR10445862/ERR10445862_2.fastq.gz	0a14f6b136db283bd225b0e763e2b64e	9738019970
ERR10445863	PE	R1	fastq_public/swiss/ERR10445863_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/063/ERR10445863/ERR10445863_1.fastq.gz	5a7b364a20af39847f47b4f1296048cc	8588457681
ERR10445863	PE	R2	fastq_public/swiss/ERR10445863_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/063/ERR10445863/ERR10445863_2.fastq.gz	beda5a2dbe812654132d17ef3d5bcddd	9487902117
ERR10445865	PE	R1	fastq_public/swiss/ERR10445865_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/065/ERR10445865/ERR10445865_1.fastq.gz	83cad865eaf984187df8f1a40d8167c9	6565531674
ERR10445865	PE	R2	fastq_public/swiss/ERR10445865_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/065/ERR10445865/ERR10445865_2.fastq.gz	dcaa8f73da93986d683e779a85cf99c3	6719837473
ERR10445888	PE	R1	fastq_public/swiss/ERR10445888_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/088/ERR10445888/ERR10445888_1.fastq.gz	8378be520b6ca1c137296c9d579cf207	7748533272
ERR10445888	PE	R2	fastq_public/swiss/ERR10445888_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/088/ERR10445888/ERR10445888_2.fastq.gz	2f2d9bd01fda0e1e02c6440d14a19b0f	8350637039
ERR10445916	PE	R1	fastq_public/swiss/ERR10445916_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/016/ERR10445916/ERR10445916_1.fastq.gz	63362bafbffe439f6ef4cff6b50ca9bf	9991270970
ERR10445916	PE	R2	fastq_public/swiss/ERR10445916_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/016/ERR10445916/ERR10445916_2.fastq.gz	db193dbbf91296b245e48253da3ff09b	11231352156
ERR10445957	PE	R1	fastq_public/swiss/ERR10445957_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/057/ERR10445957/ERR10445957_1.fastq.gz	ea32ad4f8f62f08a73f8cea616bb2fbf	9857105385
ERR10445957	PE	R2	fastq_public/swiss/ERR10445957_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/057/ERR10445957/ERR10445957_2.fastq.gz	53befacbf006678538252321b162ccfc	11548878006
ERR10445964	PE	R1	fastq_public/swiss/ERR10445964_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/064/ERR10445964/ERR10445964_1.fastq.gz	26744f732ffa5e69efd55b3054aa2277	7114691370
ERR10445964	PE	R2	fastq_public/swiss/ERR10445964_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/064/ERR10445964/ERR10445964_2.fastq.gz	d2ef170e3d6ad6a135f1e0f710423008	7552764212
ERR11147943	PE	R1	fastq_public/swedish/ERR11147943_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/043/ERR11147943/ERR11147943_1.fastq.gz	f30746355582450fe62966659766f344	34449331051
ERR11147943	PE	R2	fastq_public/swedish/ERR11147943_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/043/ERR11147943/ERR11147943_2.fastq.gz	8aa0e44a7dfb903327e5d7c5d601bf3b	33266210845
ERR11147950	PE	R1	fastq_public/swedish/ERR11147950_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/050/ERR11147950/ERR11147950_1.fastq.gz	d416f14801a09856d7e652b7e8f9dd14	26259973507
ERR11147950	PE	R2	fastq_public/swedish/ERR11147950_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/050/ERR11147950/ERR11147950_2.fastq.gz	b25a75f4639bc936bb446b18dd6ce4e8	27844825390
ERR11147955	PE	R1	fastq_public/swedish/ERR11147955_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/055/ERR11147955/ERR11147955_1.fastq.gz	ce4f3d735040d9f56edc26d8aea84c4c	30130665151
ERR11147955	PE	R2	fastq_public/swedish/ERR11147955_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/055/ERR11147955/ERR11147955_2.fastq.gz	1fa2d01d158db74ed7e4197b7fe4c15f	31657075701
